# BZB GEAR — COMPLETE PRODUCT CATALOG INDEX
# 397 products across 20 categories
# Format: SKU  [I/O]  [signals]  [max_res]  [distance]  | description

## PTZ & Video Cameras
# 100 products
  BG-ADAMO-4K12X-B                  12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera that supports HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4K12X-B-31               12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12x optical zoom that supports HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4K12X-W                  12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera with 12x optical zoom and multiple output options including HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4K12X-W-31               12G-SDI+HDMI  4K60  | 4K UHD live streaming PTZ camera with 12G-SDI and HDMI outputs that supports resolutions u…  [MULTI: includes-streaming+ includes-tally]
  BG-ADAMO-4K25X-B                  12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera that supports HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4K25X-B-31               12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with auto tracking capabilities, offering video output via HDMI 2  [MULTI: includes-streaming+ includes-tally]
  BG-ADAMO-4K25X-W                  12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera with 12x optical zoom that supports video output via HDMI, 12G-SDI, USB …  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4K25X-W-31               12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-streaming+ includes-tally]
  BG-ADAMO-4K31X-B-31               12G-SDI+HDMI  4K60  | 4K UHD live streaming PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-ndi+ includes-streaming+ includes-tally]
  BG-ADAMO-4K31X-W-31               12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
